text,label,priority
"I need to transfer $10,000.",0,high
"Please adjust my loan LN-458712 rate from 6.25% to 5.75%.",1,medium
"Request to transfer funds to account ACCT-78912.",0,high
"Need to update loan agreement for LN-326598.",1,low
"Please process $15,000 principal + interest payment.",0,high
"Request to reduce interest rate from 7.1% to 6.5% on loan LN-982145.",1,medium
"Transfer $12,500 to account GLOBAL-INVEST.",0,high
"Update loan LN-741258 terms to 5.25% from current 6.0%.",1,medium
"I want to move $8,000 to my savings account.",0,high
"Can you adjust my loan LN-369147 rate from 8.0% to 7.25%?",1,medium
"Process $25,000 wire transfer to BENEF-456.",0,high
"Lower interest rate to 4.99% on mortgage LN-852963.",1,medium
"Send $10,000 on 15MAR24 to account CLIENTSERV-01.",0,high
"Adjust loan LN-159357 rate from 5.75% to 5.25%.",1,medium
"Request to transfer $30,000 to account TRUST-789.",0,high
"Modify loan LN-753951 terms to 6.15% interest.",1,medium
"Process $18,000 payment for invoice INV-456.",0,high
"Change loan LN-246802 rate from 7.5% to 6.9%.",1,medium
